Y,Z,um,vm,wm,uu,vv,ww,uv,uw,vw
uBulk = 0.48196	 
0.098017,0.65935,0.53886,-0.0027925,-7.0753e-05,0.0032061,0.00086778,0.0013106,0.00080797,-4.4205e-05,-1.4126e-05
0.098017,0.68359,0.53136,-0.0028273,-0.0002527,0.0034605,0.00087548,0.0013484,0.00083973,-5.1835e-05,-1.4737e-05
0.098017,0.70711,0.52352,-0.002813,-0.0004788,0.0037464,0.00087556,0.0013787,0.0008681,-5.9523e-05,-1.5216e-05
0.098017,0.72986,0.51527,-0.0027511,-0.00074188,0.0040691,0.00086625,0.0013993,0.00089244,-6.6915e-05,-1.6225e-05
0.098017,0.75184,0.50649,-0.0026463,-0.0010398,0.00443,0.00084606,0.0014108,0.00091201,-7.2911e-05,-1.7761e-05
0.098017,0.77301,0.49701,-0.0025038,-0.0013616,0.0048364,0.00081433,0.0014143,0.00092635,-7.5745e-05,-1.8898e-05
0.098017,0.79335,0.48663,-0.0023282,-0.0016764,0.0052956,0.00077115,0.0014101,0.00093506,-7.4335e-05,-1.8747e-05
0.098017,0.81285,0.47512,-0.0021252,-0.0019549,0.0058066,0.00071685,0.0013977,0.00093728,-6.9449e-05,-1.7706e-05
0.098017,0.83147,0.46223,-0.0019061,-0.0021743,0.0063606,0.00065273,0.0013768,0.00093134,-6.1434e-05,-1.6121e-05
0.098017,0.8492,0.44763,-0.0016823,-0.0023105,0.006942,0.00058085,0.001346,0.00091563,-5.2479e-05,-1.4362e-05
0.098017,0.86603,0.43094,-0.0014596,-0.0023556,0.0075212,0.0005034,0.0013019,0.00088834,-4.3759e-05,-1.2531e-05
0.098017,0.88192,0.41178,-0.0012398,-0.0023113,0.0080564,0.00042288,0.0012415,0.00084688,-3.4932e-05,-1.0532e-05
0.098017,0.89687,0.3897,-0.0010268,-0.0021879,0.0084882,0.00034235,0.0011634,0.00078832,-2.6187e-05,-8.9082e-06
0.098017,0.91086,0.36427,-0.00082767,-0.0020065,0.0087339,0.00026546,0.001069,0.0007108,-1.8923e-05,-7.8549e-06
0.098017,0.92388,0.33511,-0.00064881,-0.0017895,0.0086908,0.0001958,0.00096131,0.00061429,-1.3569e-05,-6.9443e-06
0.098017,0.93591,0.30206,-0.0004939,-0.0015547,0.0082554,0.00013629,0.00084431,0.00050166,-1.0054e-05,-5.9632e-06
0.098017,0.94693,0.26541,-0.00036344,-0.0013155,0.0073652,8.8578e-05,0.00072186,0.00038,-8.1455e-06,-4.9211e-06
0.098017,0.95694,0.22607,-0.00025619,-0.0010815,0.0060574,5.2944e-05,0.00059695,0.00026102,-6.956e-06,-3.7994e-06
0.098017,0.96593,0.1856,-0.00017078,-0.00086096,0.0045064,2.8457e-05,0.00047199,0.00015849,-5.5679e-06,-2.6403e-06
0.098017,0.97388,0.14599,-0.00010601,-0.00066028,0.0029825,1.332e-05,0.0003501,8.2733e-05,-3.9235e-06,-1.5857e-06
0.098017,0.98079,0.10917,-6.0009e-05,-0.00048371,0.0017312,5.1858e-06,0.0002369,3.6016e-05,-2.3519e-06,-7.9252e-07
